nombre,url,direccion,ciudad,provincia,telefono,productos
Cabuchi,https://ar.prvademecum.com/laboratorio/cabuchi-52/,Tucumán 1301 esq. San Juan,Jesús María,CORDOBA,(03525) 445901,
Fecofar,https://ar.prvademecum.com/laboratorio/fecofar-119/,Av. Presidente Perón 2742,San Justo,Bs. As.,4482-5522/5493/5483,ALERGITRAT; ALERGITRAT C; ALERGITRAT L; ALERGITRAT L CAPSULAS BLANDAS; AMOXICILINA DUO FECOFAR; AMOXICILINA FECOFAR; ANTIPRESOL; ANTIPRESOL A; ANTIPRESOL D; BIDEON; BIDEON BIOTIC; BIDEON BIOTIC PLUS; BIDEON FREE; BIDEON LAGRIMAS; BIDEON OJOS ROJOS
Isa,https://ar.prvademecum.com/laboratorio/isa-373/,Av. Larrazábal 1848,Capital,,4683-8888 (int 114),+50; 4 X 4; ALGISTOP; ATORVASTATINA ISA; BISTRONFOR; BUENAS NOCHES; CARTIFLEX; CREATINA STIKS; DIA D; DOLO PARACETAMOL; GLUCOCARTIFLEX; GLUCOCARTIFLEX; HERBACCION GINKGO FORTE; HERBACCION MEMORY; HERBACCION SEDANTE
Kilab S.R.L.,https://ar.prvademecum.com/laboratorio/kilab-641/,Carlos M. Ramírez 1544 /46,,Capital federal,4919-8112 / 9876 / 6664 / 7891,AKITROPIO; AMPICILINA+SULBACTAM KILAB; CBD CREAM KILAB CANNABIDIOL; CEFALOTINA KILAB; CEFAZOLINA KILAB; CEFEPIME KILAB; CEFOTAXIMA KILAB; CEFTAZIDIMA KILAB; CEFTRIAXONA KILAB; CLONAZEPAM KILAB; DICLOFENAC KILAB; FENTANILO KILAB; IMIPENEM + CILASTATINA KILAB; LORAZEPAM KILAB; MEROPENEM KILAB
Novoplos,https://ar.prvademecum.com/laboratorio/novoplos-876/,Av. Gral Paz 14268,,Capital federal,11-4519-2541,ACETA; ACILAC OMEGA 3-6; AZITROPLOS; BIO EYES LAGRIMAS; BIOSOL GEL; BIOSOL GOTAS; BIOSOL LC; CIFLOXIN; DAYFLEX C; DEXACORT C; ECNAGEL E; ECNAGEL LOCION ASTRINGENTE; ECNAGEL P.B.; ERITROPLOS; NACLOR 0.9%
Poen,https://ar.prvademecum.com/laboratorio/poen-230/,Fray J. Sarmiento 2350,Olivos,Bs. As.,4670-0100,"ACRYLARM; ACRYLARM PLUS; AUCIC 0,5%; AUCIC 1%; AUCIC 1% LC; AUCIC 1,5%; AUCIC CAPS; AUCIC HOLD; AUCIC PLUS; AUCIC PLUS LC; BRIMOPRESS; BRIMOPRESS LC; BRIMOPRESS T; BRIMOPRESS T LC; BRINZOTEN"
San Ceferino,https://ar.prvademecum.com/laboratorio/san-ceferino-732/,Corrientes 453 /67,Villa María,CORDOBA,(0353) 4534877,
Infinity Pharma,https://ar.prvademecum.com/laboratorio/infinity-pharma-1013/,Balbastro 1649,Ituzaingo,Bs. As.,11-6081-5851,ALBUNORM; BI1 ESPESANTE NM; CUTAQUIG; FIBRYGA; GAMMANORM; NUWIQ; OCTAGAM; OCTANATE; OCTANINE; OCTAPLEX; PANZYGA; WILATE
Lispharma Sa,https://ar.prvademecum.com/laboratorio/lispharma-sa-867/,Venezuela 172,CABA,,4342-6767/4342-1009,
Eczane,https://ar.prvademecum.com/laboratorio/eczane-505/,Laprida 43,Avellaneda,Bs. As.,4201-2587 4222-4527/2873/3494,ABRIKAT; ACLOXIGENAC; ACLOXIGENAC PLUS; AFATIXANE; ALUXANTIB; AMLODISANE; AMSALYO; ANASTROZOL ECZANE 1MG; APARZO; ARILD; ASPIRINA ECZANE; ATENOLOL ECZANE; AVITREX; BRIKATIB; CANDESAN
Biosintex Tresp,https://ar.prvademecum.com/laboratorio/biosintex-tresp-1025/,Salom 651,,Capital federal,01143018687,ESPIROTECH; PANCREOLIPASA TECHSPHERE; SOLUCION HIPERSALINA TECHSPHERE; TOFIB
Pharmamerican,https://ar.prvademecum.com/laboratorio/pharmamerican-807/,Calle 3 y 6,Pque.Ind.Gral.Savio Batán-Mar del Plata,Bs. As.,0223-464-2881,
Asserca,https://ar.prvademecum.com/laboratorio/asserca-1030/,Yeruá 4975,,Capital federal,011-45524357,
